cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
discovery,mcar,0.05,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.9234447677925939,0.9245413077260902,-0.0010965399334964432,-0.010874814135140227,0.00873408738001127,27.0,1.0,0.018181818181818188,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.9234447677925939,0.9222631691979519,0.0011815985946420527,-0.01202874709831231,0.013512925058033741,14.0,0.640625,0.2222222222222222,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.9234447677925939,0.9195475816454077,0.003897186147186127,-0.003949265951439864,0.011580127752682032,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.9234447677925939,0.9186194493911886,0.004825318401405332,-0.005447726880607326,0.01597874239287282,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,SimpleMean,MissForest,0.9234447677925939,0.9223843028951725,0.0010604648974214092,-0.012014468834305776,0.0135754270186335,20.0,0.8203125,0.11111111111111116,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9245413077260902,0.9222631691979519,0.002278138528138496,-0.00806799948240169,0.011700831686429441,19.0,0.734375,0.15555555555555556,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9245413077260902,0.9195475816454077,0.00499372608068257,-0.004583896809712054,0.014306993067319067,19.0,0.431640625,0.3090909090909091,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9245413077260902,0.9186194493911886,0.005921858334901775,-0.003473562488236479,0.015077499372608024,14.0,0.359375,0.37777777777777777,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9245413077260902,0.9223843028951725,0.0021570048309178524,-0.007506167654809001,0.010901857472237897,21.0,0.556640625,0.23636363636363633,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9222631691979519,0.9195475816454077,0.002715587552544074,-0.010235929167450914,0.01534040874584356,25.0,0.845703125,0.09090909090909094,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9222631691979519,0.9186194493911886,0.003643719806763279,-0.005970992141916044,0.013257334211682032,16.5,0.51171875,0.28888888888888886,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),MissForest,0.9222631691979519,0.9223843028951725,-0.00012113369722064338,-0.009412632928665551,0.00987122623753059,17.0,0.9453125,-0.05555555555555558,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9195475816454077,0.9186194493911886,0.000928132254219205,-0.010978522021456877,0.014006999341238516,26.0,0.921875,0.054545454545454564,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),MissForest,0.9195475816454077,0.9223843028951725,-0.0028367212497647175,-0.013225825020390242,0.0085853151075977,25.0,0.845703125,-0.09090909090909083,10,5000,,1.0
discovery,mcar,0.05,f1_macro,True,RFECA_SVR(k=20),MissForest,0.9186194493911886,0.9223843028951725,-0.0037648535039839226,-0.015224759238346198,0.006540362867808548,15.0,0.42578125,-0.33333333333333326,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.9172617594965422,0.9250435506522464,-0.00778179115570421,-0.01559161230074273,-0.0003456132756133444,8.0,0.1953125,-0.5555555555555556,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.9172617594965422,0.9176499720086676,-0.00038821251212556307,-0.013595064681695095,0.01277668148880105,27.0,1.0,0.018181818181818188,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.9172617594965422,0.9101142379359773,0.007147521560565018,-0.006434201360233968,0.023148967409402144,15.0,0.42578125,0.33333333333333337,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.9172617594965422,0.9181455018411538,-0.0008837423446119263,-0.013283280988335354,0.011212827263316388,26.0,0.921875,-0.05454545454545445,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,SimpleMean,MissForest,0.9172617594965422,0.9184111521328913,-0.0011493926363491669,-0.015063783861066455,0.012758238518727618,25.0,0.845703125,-0.09090909090909083,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9250435506522464,0.9176499720086676,0.007393578643578647,-0.0038061625572494663,0.019595054583098046,18.0,0.375,0.34545454545454546,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9250435506522464,0.9101142379359773,0.014929312716269228,0.004042666174405332,0.026651545917850263,5.0,0.0390625,0.7777777777777778,10,5000,,0.5859375
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9250435506522464,0.9181455018411538,0.006898048811092283,-0.0001676293211619112,0.014948376231256628,14.0,0.193359375,0.49090909090909096,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9250435506522464,0.9184111521328913,0.006632398519355043,-0.006256237844281282,0.01988822471610516,20.0,0.4921875,0.2727272727272727,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9176499720086676,0.9101142379359773,0.007535734072690581,-0.004092002164502127,0.019979583514311762,14.0,0.359375,0.37777777777777777,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9176499720086676,0.9181455018411538,-0.0004955298324863632,-0.008872968034381047,0.007139486087583894,26.0,0.921875,-0.05454545454545445,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),MissForest,0.9176499720086676,0.9184111521328913,-0.0007611801242236038,-0.00819858632912977,0.005974908636049925,15.0,0.7421875,-0.16666666666666674,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9101142379359773,0.9181455018411538,-0.008031263905176944,-0.015926885596287733,-0.0004752953145887998,9.0,0.12890625,-0.6000000000000001,10,5000,,1.0
discovery,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),MissForest,0.9101142379359773,0.9184111521328913,-0.008296914196914185,-0.017176928940624562,0.00047995922555706377,6.0,0.109375,-0.6666666666666667,10,5000,,1.0
