mechanism,rate,replicate,seed,mask_hash,mask_npz_sha16,rmse,mae,classification
mcar,0.05,0,50042,e0c0e9d411b0d80c,53f6b43df8038120,0.6107631328917148,0.4028106636086227,A
mcar,0.05,1,1050045,483f16c6badfba45,2205a27b68db262f,0.6128626735278541,0.3985806843926208,A
mcar,0.05,2,2050048,0bb3ab831c43a39d,9e224f96d993cf33,0.6267313411728871,0.4138948991892275,A
mcar,0.05,3,3050051,b543ad511bc04b63,b43ccec555fdfaf2,0.6184607828978039,0.4136945567679597,A
mcar,0.05,4,4050054,700af1b560d85ba9,c772f93c14dfaecb,0.5943293081711918,0.3976411974523214,A
mcar,0.1,0,100042,220e7064dfd56378,d3d789dc76c9972b,0.6252048164625302,0.41086963230270723,A
mcar,0.1,1,1100045,b40385df825614ac,11caf40a05259bd2,0.6192621529081638,0.406687634547618,A
mcar,0.1,2,2100048,fe72eb3515379593,0fb974dd34c3f41c,0.6089959488632618,0.4034432463788689,A
mcar,0.1,3,3100051,2a2522814cbcb6a5,a26ddd3411b0820f,0.6057922263981441,0.4044635073746678,A
mcar,0.1,4,4100054,fdfb644e7df47e7a,bf09427b84b52827,0.6139865059422975,0.4088212476286723,A
mcar,0.2,0,200042,9b536694591b54dd,472a55dd537dfd77,0.6210393322162794,0.40806372032054955,A
mcar,0.2,1,1200045,674e6a25a1b3487d,34a0e2fe9df48637,0.6144334700654961,0.40652908219453165,A
mcar,0.2,2,2200048,a2b14f54a4a30964,a8621094b7377f9d,0.6116540748837421,0.40303810081080643,A
mcar,0.2,3,3200051,578caac8fb7947bb,49730e948a287d3c,0.6084569191693275,0.4030464685448079,A
mcar,0.2,4,4200054,999536e8b97d27c0,1521a86e6ad1cfb9,0.6157306886208015,0.4068909738830337,A
mcar,0.3,0,300042,d53685465b699f53,a7012ab8d8b4fe13,0.6160452261498978,0.4067954524160932,A
mcar,0.3,1,1300045,fff06ad400077b59,43630d11407da6da,0.6264848765100035,0.4111946581137224,A
mcar,0.3,2,2300048,ef7ec9fb7aed106d,32f43ce7f4255321,0.6181796624714604,0.4070041019690501,A
mcar,0.3,3,3300051,6e2d049823f20434,da03b10ae4d3574e,0.623232086156557,0.41213198367947007,A
mcar,0.3,4,4300054,d2bae8d8c0546f0f,dbc82073420056e5,0.622379112305706,0.4103110203605412,A
mar,0.05,0,67042,3ac629556e835939,f4e2a87b6d15f474,0.6635615178682122,0.4275745084813604,A
mar,0.05,1,1067045,cdf0d789d0d4b9cf,4202d2ed426ce031,0.6356704993244724,0.4196426052560247,A
mar,0.05,2,2067048,eae93f2939baf912,d87f190e649ba05a,0.6224031618402739,0.41274703508693017,A
mar,0.05,3,3067051,1ec46a0b2f53d057,2d449926e5eefaa6,0.6438449255952985,0.41929999404529883,A
mar,0.05,4,4067054,4e9de7fa77af46d9,fd86634d4bffd296,0.6416427876974308,0.4245247847100357,A
mar,0.1,0,117042,29ad6d1cc44099cb,444b454f55898f24,0.6535050276643706,0.42752509808415373,A
mar,0.1,1,1117045,dd40ff6ab7cbe8c1,e6d2c1fb19a66b6c,0.6220266079393173,0.4135800141067745,A
mar,0.1,2,2117048,1126850b2ab068b4,8c756c2f4ca169be,0.6364105257019339,0.4162120330966739,A
mar,0.1,3,3117051,a6e42dc1508de8b9,37286902a3b1d807,0.6423945365163464,0.4196148644370832,A
mar,0.1,4,4117054,f8e69fc8e478b26d,300151b2314cb502,0.6398314055674992,0.41548596185962383,A
mar,0.2,0,217042,7fc2f2c153ce31fe,ef4b8e761d627b6f,0.6417125419656355,0.4197721781674413,A
mar,0.2,1,1217045,66dcff0b9b3fd78b,4f4bc2357b8a8a31,0.6314675165357442,0.4162248254213697,A
mar,0.2,2,2217048,f5a2f577b75a9009,f71cfb303f9af2c9,0.6377847399602956,0.4177898944708718,A
mar,0.2,3,3217051,ab6dbc5c3a3e56d5,3c38fc4248a9b940,0.643394014760074,0.4212699758822335,A
mar,0.2,4,4217054,0f6fa27b6a541e02,0de4a4f7ea3bd90c,0.644256137380235,0.42133195823563685,A
mar,0.3,0,317042,95ab2432f4cfd174,408ead5fd5f9f6c9,0.6390872847560543,0.41726280636670654,A
mar,0.3,1,1317045,a7b8d456896e3063,6e6577e2351a63f2,0.6387470392970559,0.4193931249853288,A
mar,0.3,2,2317048,09b325fe8c84aa1a,4111e108ab37c8e8,0.6364776719153383,0.41545721206870306,A
mar,0.3,3,3317051,50e81e668e8f12b3,1ce4c54ec1d24773,0.6413714646379826,0.42170295389909856,A
mar,0.3,4,4317054,8e05cc26c0502af1,4201e47abf91c90d,0.6417852458191478,0.4190263910528475,A
